ds,unix,symbol,open,high,low,y,Volume BTC,Volume USD,is_outlier,SMA_20,EMA_20,BB_upper,BB_lower,BB_mid,RSI,daily_return,log_return,volatility_21d
2015-02-24,1424736000,BTC/USD,239.65,240.88,236.3,239.69,580503.8,2430.95,0,233.59650000000002,237.32935351781447,255.94018793476755,211.2528120652325,233.59650000000002,58.72764530551416,0.32228360957642366,0.0032176538907937825,61.66154362553525
2015-02-25,1424822400,BTC/USD,239.94,240.61,236.0,238.0,413399.21,1735.6,0,234.6465,237.39322461135595,255.63917468728735,213.65382531271266,234.6465,58.804327550830074,-0.7050773916308595,-0.007075748083424386,61.73720219952313
2015-02-26,1424908800,BTC/USD,237.97,238.55,234.01,236.7,826644.88,3498.78,0,235.3375,237.32720321979824,255.59638018415006,215.07861981584995,235.3375,56.76934778474995,-0.5462184873949671,-0.005477157151536537,59.39397520458781
2015-02-27,1424995200,BTC/USD,236.7,256.15,236.16,253.06,5507719.94,22016.89,0,236.56,238.8255648179127,258.0245028875696,215.0954971124304,236.56,57.560201605376136,6.91170257710183,0.06683309824117949,62.84042025706995
2015-02-28,1425081600,BTC/USD,253.06,254.29,245.2,252.98,906874.89,3613.22,0,237.99949999999998,240.17360626382577,259.82946248519954,216.16953751480042,237.99949999999998,47.145509398932475,-0.03161305619221455,-0.00031618054172194177,62.47355653418768
2015-03-01,1425168000,BTC/USD,253.47,260.0,245.0,255.81,1275703.25,5062.1,0,239.754,241.66278661965188,261.3759521977563,218.13204780224365,239.754,66.73832923832923,1.1186655071547147,0.011124547202672159,61.86777720434713
2015-03-02,1425254400,BTC/USD,258.34,274.81,256.0,274.0,2598170.67,9781.93,0,242.40649999999997,244.74252122730408,267.1117087199175,217.70129128008244,242.40649999999997,73.1831125417853,7.110746256987599,0.06869312496600223,64.92637680601989
2015-03-03,1425340800,BTC/USD,274.0,284.95,265.89,279.0,6104061.68,22213.49,0,245.40049999999997,248.0051382532751,272.6099886506808,218.19101134931913,245.40049999999997,72.00103412616338,1.8248175182481674,0.018083675433295327,64.88866271661904
2015-03-04,1425427200,BTC/USD,279.0,283.88,264.94,269.83,3934109.59,14281.76,0,247.76899999999995,250.08369651486794,274.8168343524549,220.72116564754498,247.76899999999995,72.00103412616338,-3.286738351254481,-0.03341965075259716,66.4005899591874
2015-03-05,1425513600,BTC/USD,269.83,280.5,262.2,273.8,3070426.12,11360.44,0,249.61599999999999,252.34239208488052,278.5093023745159,220.72269762548402,249.61599999999999,70.9066487575554,1.4712967423933687,0.014605781785580134,66.39567052726623
2015-03-06,1425600000,BTC/USD,273.8,276.46,269.0,273.26,1907509.64,6996.36,0,250.38400000000001,254.3345452196538,280.9713261679606,219.79667383203937,250.38400000000001,68.97708216880936,-0.19722425127831622,-0.00197418994400682,63.633981805231265
2015-03-07,1425686400,BTC/USD,273.26,279.48,270.0,275.59,1540760.07,5605.63,0,252.46300000000002,256.3588742463534,284.00183560911677,220.92416439088328,252.46300000000002,70.17377138202548,0.8526677889189704,0.008490531100617576,56.93877886741462
2015-03-08,1425772800,BTC/USD,275.59,277.59,271.12,274.89,1223277.71,4455.34,0,254.38000000000002,258.12374336574834,286.5016936041664,222.25830639583367,254.38000000000002,79.31563602884758,-0.2540005080010066,-0.002543236365727804,43.8529605066012
2015-03-09,1425859200,BTC/USD,274.89,289.0,274.17,287.0,3389556.2,11984.22,0,256.48199999999997,260.8738630452009,291.38947203981496,221.57452796018498,256.48199999999997,82.03624733475476,4.405398523045578,0.043111198114389515,45.539824493022735
2015-03-10,1425945600,BTC/USD,287.0,296.8,283.96,290.24,3744249.17,12857.02,0,259.2045,263.670637993277,295.77088863621447,222.63811136378555,259.2045,82.60869565217388,1.1289198606271755,0.011225951167150652,44.58255431233539
2015-03-11,1426032000,BTC/USD,290.24,296.74,285.83,295.11,1979535.16,6784.55,0,261.8265,266.66486294629823,300.839443209846,222.813556790154,261.8265,85.3885239806667,1.6779217199559104,0.016640001266004602,41.34656889065557
